Station,Date,Tavg,DewPoint,Heat,Cool,PrecipTotal,SeaLevel,ResultSpeed,ResultDir,Sunrise,Sunset,RHumidity
2,2007-05-16,54.0,42,10,0,0.07,30.03,8.0,36,04:31,19:05,63.761282104618346
1,2007-05-17,52.0,32,12,0,0.0,30.27,10.5,3,04:30,19:06,46.27635891221943
2,2007-05-17,52.0,32,12,0,0.0,30.27,11.7,1,04:30,19:06,46.27635891221943
1,2007-05-18,56.0,30,8,0,0.0,30.25,5.4,25,04:29,19:07,36.87712868300609
2,2007-05-18,56.0,31,8,0,0.0,30.26,3.4,22,04:29,19:07,38.40384534716244
1,2007-05-19,68.0,39,0,3,0.0,30.08,11.1,24,04:28,19:08,34.55825190759422
2,2007-05-19,68.0,37,0,3,0.0,30.08,11.1,23,04:28,19:08,31.952006047371974
1,2007-05-20,56.0,40,9,0,0.07,30.11,10.4,4,04:27,19:09,54.87491930550421
2,2007-05-20,56.0,41,8,0,0.11,30.11,8.6,3,04:27,19:09,57.04404158160562
1,2007-05-21,62.0,50,3,0,0.0,30.06,6.3,11,04:26,19:10,64.75536744234604
2,2007-05-21,62.0,50,2,0,0.0,30.05,6.3,10,04:26,19:10,64.75536744234604
1,2007-05-22,71.0,46,0,6,0.0,30.06,10.0,18,04:25,19:11,40.8162829528235
2,2007-05-22,74.0,44,0,9,0.0,30.05,10.1,16,04:25,19:11,34.186694754889515
1,2007-05-23,74.0,49,0,10,0.0,30.1,11.4,19,04:25,19:12,41.28775436548422
2,2007-05-23,78.0,48,0,13,0.0,30.1,10.9,18,04:25,19:12,34.81701151537113
1,2007-05-24,76.0,54,0,11,0.02,30.11,14.9,21,04:24,19:13,46.450538518744715
2,2007-05-24,77.0,53,0,12,0.0,30.1,13.8,20,04:24,19:13,43.31909867844833
1,2007-05-25,63.0,44,2,0,0.0,30.24,4.9,5,04:23,19:14,49.8705481833715
2,2007-05-25,62.0,46,3,0,0.09,30.23,4.5,5,04:23,19:14,55.73631566879558
1,2007-05-26,57.0,55,8,0,1.01,30.11,2.8,17,04:22,19:15,93.01460189044892
2,2007-05-26,60.0,55,5,0,0.28,30.1,2.5,15,04:22,19:15,83.53809250668525
1,2007-05-27,66.0,47,0,1,0.04,30.06,8.9,26,04:22,19:16,50.321942209439584
2,2007-05-27,67.0,49,0,2,0.08,30.05,8.2,24,04:22,19:16,52.395399909632864
1,2007-05-28,64.0,47,0,0,0.0,30.15,4.8,10,04:21,19:16,53.95286976616358
2,2007-05-28,65.0,49,0,0,0.0,30.14,4.7,8,04:21,19:16,56.15935333944107
1,2007-05-29,74.0,58,0,9,0.0,30.11,5.8,18,04:21,19:17,57.39844888625208
2,2007-05-29,76.0,59,0,12,0.0,30.09,5.8,16,04:21,19:17,55.64738458327224
1,2007-05-30,76.0,58,0,12,0.0,30.04,10.3,19,04:20,19:18,53.68950206624461
2,2007-05-30,80.0,57,0,15,0.0,30.03,9.7,17,04:20,19:18,45.390216971070394
1,2007-05-31,72.0,61,0,7,0.01,30.0,9.3,19,04:20,19:19,68.33135540319206
2,2007-05-31,74.0,61,0,9,0.53,29.99,8.9,18,04:20,19:19,63.88019287066455
1,2007-06-01,74.0,63,0,9,0.19,29.91,4.2,17,04:19,19:20,68.55087020336484
2,2007-06-01,76.0,63,0,12,0.21,29.9,4.7,16,04:19,19:20,64.12128130361302
1,2007-06-02,73.0,63,0,8,0.04,29.77,6.5,22,04:19,19:20,70.89397217984008
2,2007-06-02,74.0,62,0,10,0.0,29.76,7.5,21,04:19,19:20,66.17933131928623
1,2007-06-03,70.0,60,0,5,0.01,29.56,5.2,25,04:18,19:21,70.58262702474482
2,2007-06-03,70.0,60,0,6,0.32,29.54,4.9,24,04:18,19:21,70.58262702474482
1,2007-06-04,64.0,58,0,0,0.39,29.52,7.8,31,04:18,19:22,80.84659363061954
2,2007-06-04,64.0,57,1,0,0.31,29.51,7.9,30,04:18,19:22,77.99002766483804
1,2007-06-05,56.0,48,9,0,0.42,29.79,5.2,5,04:17,19:23,74.47077718456157
2,2007-06-05,57.0,47,8,0,0.27,29.78,6.2,3,04:17,19:23,69.17919044473983
1,2007-06-06,58.0,48,7,0,0.01,29.81,10.8,17,04:17,19:23,69.29036909562232
2,2007-06-06,60.0,47,4,0,0.0,29.82,9.6,15,04:17,19:23,62.13107935157103
1,2007-06-07,81.0,62,0,16,0.0,29.55,22.7,20,04:17,19:24,52.50833622360449
2,2007-06-07,82.0,61,0,17,0.0,29.55,20.3,19,04:17,19:24,49.062695334425065
1,2007-06-08,69.0,53,0,4,0.0,29.85,10.9,28,04:17,19:25,56.71557584367949
2,2007-06-08,72.0,54,0,7,0.0,29.83,9.3,26,04:17,19:25,53.1196677663226
1,2007-06-09,66.0,47,0,1,0.0,30.07,0.3,33,04:16,19:25,50.321942209439584
2,2007-06-09,68.0,49,0,3,0.0,30.05,2.4,19,04:16,19:25,50.620233146358515
1,2007-06-10,68.0,51,0,3,0.0,30.05,4.8,17,04:16,19:26,54.52642597791101
2,2007-06-10,71.0,50,0,6,0.0,30.04,4.6,16,04:16,19:26,47.421028256458584
1,2007-06-11,72.0,52,0,7,0.0,30.11,4.9,11,04:16,19:26,49.362092716414686
2,2007-06-11,75.0,51,0,10,0.0,30.09,6.6,9,04:16,19:26,43.00991391902142
1,2007-06-12,72.0,50,0,8,0.0,30.16,8.3,5,04:16,19:27,45.84077627073299
2,2007-06-12,74.0,51,0,9,0.0,30.14,9.4,5,04:16,19:27,44.473791254469916
1,2007-06-13,74.0,53,0,9,0.0,30.09,7.2,5,04:16,19:27,47.874625301538124
2,2007-06-13,77.0,53,0,12,0.0,30.0,7.0,5,04:16,19:27,43.31909867844833
1,2007-06-14,76.0,55,0,12,0.0,30.02,5.6,5,04:16,19:28,48.1745710114634
2,2007-06-14,78.0,54,0,14,0.0,30.0,5.9,7,04:16,19:28,43.47303827132606
1,2007-06-15,77.0,56,0,12,0.0,29.99,4.1,6,04:16,19:28,48.32381008232468
2,2007-06-15,78.0,56,0,13,0.0,29.97,3.8,9,04:16,19:28,46.75258246477517
1,2007-06-16,80.0,60,0,15,0.0,29.97,4.8,28,04:16,19:29,50.5392550224599
2,2007-06-16,80.0,61,0,15,0.0,29.96,2.1,22,04:16,19:29,52.36618948569386
1,2007-06-17,80.0,64,0,16,0.0,29.95,2.8,11,04:16,19:29,58.20002676000418
2,2007-06-17,81.0,65,0,16,0.16,29.93,4.0,11,04:16,19:29,58.331755493830606
1,2007-06-18,79.0,65,0,14,0.28,29.84,14.0,20,04:16,19:29,62.27608787757759
2,2007-06-18,81.0,65,0,16,0.02,29.83,12.2,20,04:16,19:29,58.331755493830606
1,2007-06-19,72.0,55,0,8,0.58,29.95,10.7,28,04:16,19:30,55.091227971046706
2,2007-06-19,73.0,55,0,8,0.93,29.93,10.1,29,04:16,19:30,53.262920322678845
1,2007-06-20,72.0,52,0,8,0.0,30.1,7.8,27,04:16,19:30,49.362092716414686
2,2007-06-20,74.0,50,0,9,0.0,30.09,5.9,28,04:16,19:30,42.8546691666914
1,2007-06-21,69.0,51,0,4,0.01,30.08,3.5,3,04:16,19:30,52.68671378756085
2,2007-06-21,73.0,51,0,8,0.0,30.06,3.7,2,04:16,19:30,45.99392700009288
1,2007-06-22,68.0,50,0,4,0.0,30.06,7.8,6,04:17,19:31,52.54132558106588
2,2007-06-22,68.0,49,0,4,0.0,30.05,6.5,7,04:17,19:31,50.620233146358515
1,2007-06-23,64.0,58,0,0,0.05,29.96,7.6,12,04:17,19:31,80.84659363061954
2,2007-06-23,64.0,60,0,0,0.34,29.95,7.3,11,04:17,19:31,86.837168015172
1,2007-06-24,70.0,62,0,5,0.0,29.97,7.0,9,04:17,19:31,75.76630560203299
2,2007-06-24,70.0,62,0,5,0.0,29.96,5.6,10,04:17,19:31,75.76630560203299
1,2007-06-25,77.0,66,0,12,0.0,30.07,3.9,14,04:17,19:31,68.8762683364799
2,2007-06-25,76.0,67,0,12,0.0,30.06,4.0,12,04:17,19:31,73.70845748055447
1,2007-06-26,81.0,69,0,16,0.16,30.11,6.1,22,04:18,19:31,66.9744143673071
2,2007-06-26,82.0,69,0,17,0.0,30.09,7.3,21,04:18,19:31,64.83182192304785
1,2007-06-27,81.0,70,0,16,0.15,30.02,7.5,24,04:18,19:31,69.30301775489443
2,2007-06-27,80.0,69,0,15,0.35,30.0,7.9,24,04:18,19:31,69.19708443215043
1,2007-06-28,66.0,55,0,1,0.0,30.09,11.9,3,04:19,19:31,67.66016472401645
2,2007-06-28,67.0,56,0,2,0.0,30.07,12.2,2,04:19,19:31,67.77336387804567
1,2007-06-29,63.0,55,2,0,0.0,30.13,7.6,2,04:19,19:31,75.13039357925139
2,2007-06-29,64.0,56,1,0,0.0,30.11,7.4,2,04:19,19:31,75.22266484350234
1,2007-06-30,66.0,46,0,2,0.0,30.13,4.9,3,04:19,19:31,48.457951009264626
2,2007-06-30,68.0,49,0,3,0.0,30.11,5.1,4,04:19,19:31,50.620233146358515
1,2007-07-01,64.0,52,0,0,0.0,30.23,8.6,4,04:20,19:31,64.99819801604751
2,2007-07-01,68.0,51,0,4,0.0,30.21,9.5,4,04:20,19:31,54.52642597791101
1,2007-07-02,66.0,50,0,1,0.0,30.22,5.9,14,04:20,19:31,56.29924377769591
2,2007-07-02,68.0,50,0,3,0.0,30.21,7.4,12,04:20,19:31,52.54132558106588
1,2007-07-03,72.0,57,0,7,0.4,30.06,6.7,21,04:21,19:31,59.22858008458958
2,2007-07-03,73.0,56,0,8,0.09,30.05,6.4,21,04:21,19:31,55.23107333223108
1,2007-07-04,76.0,65,0,12,0.16,29.9,4.6,27,04:22,19:30,68.76831510279386
2,2007-07-04,76.0,65,0,11,0.66,29.88,3.1,25,04:22,19:30,68.76831510279386
1,2007-07-05,80.0,60,0,15,0.0,29.94,6.4,31,04:22,19:30,50.5392550224599
2,2007-07-05,79.0,60,0,14,0.0,29.92,4.3,33,04:22,19:30,52.22353196842017
1,2007-07-06,76.0,57,0,11,0.0,30.03,3.2,5,04:23,19:30,51.79248207523655
2,2007-07-06,76.0,57,0,11,0.0,30.01,3.3,7,04:23,19:30,51.79248207523655
1,2007-07-07,77.0,63,0,12,0.0,29.91,8.4,22,04:23,19:30,62.027888304697775
2,2007-07-07,78.0,62,0,13,0.0,29.9,7.4,23,04:23,19:30,57.93497644811754
1,2007-07-08,84.0,67,0,20,0.0,29.77,12.9,24,04:24,19:29,56.73420631391494
2,2007-07-08,84.0,67,0,19,0.0,29.76,12.6,23,04:24,19:29,56.73420631391494
1,2007-07-09,82.0,66,0,17,0.3,29.8,4.9,24,04:25,19:29,58.4629559303616
2,2007-07-09,82.0,67,0,18,0.24,29.79,4.8,23,04:25,19:29,60.52200223913137
1,2007-07-10,79.0,67,0,14,0.43,29.77,8.6,23,04:25,19:29,66.74984501973368
2,2007-07-10,80.0,67,0,15,0.08,29.76,8.2,23,04:25,19:29,64.59707555210858
1,2007-07-11,70.0,51,0,5,0.0,29.93,8.8,30,04:26,19:28,50.916423485910975
2,2007-07-11,70.0,51,0,5,0.0,29.92,9.1,30,04:26,19:28,50.916423485910975
1,2007-07-12,70.0,51,0,6,0.0,29.93,9.4,29,04:27,19:28,50.916423485910975
2,2007-07-12,70.0,51,0,5,0.0,29.92,10.0,28,04:27,19:28,50.916423485910975
1,2007-07-13,68.0,52,0,3,0.0,29.98,1.4,1,04:28,19:27,56.577353085352414
2,2007-07-13,66.0,53,0,2,0.0,29.98,2.0,7,04:28,19:27,62.894084892669234
1,2007-07-14,72.0,55,0,8,0.0,29.79,8.3,26,04:28,19:27,55.091227971046706
2,2007-07-14,74.0,55,0,9,0.0,29.79,8.4,25,04:28,19:27,51.50253858578978
1,2007-07-15,71.0,53,0,6,0.0,29.89,2.1,29,04:29,19:26,52.97588345300211
2,2007-07-15,72.0,52,0,7,0.0,29.88,1.2,9,04:29,19:26,49.362092716414686
1,2007-07-16,74.0,60,0,9,0.39,29.96,4.4,24,04:30,19:25,61.65156162940663
2,2007-07-16,74.0,60,0,9,0.07,29.94,5.6,23,04:30,19:25,61.65156162940663
1,2007-07-17,76.0,66,0,11,0.11,29.9,5.2,23,04:31,19:25,71.20078883633504
2,2007-07-17,76.0,65,0,11,0.11,29.89,6.3,23,04:31,19:25,68.76831510279386
1,2007-07-18,77.0,68,0,12,1.55,29.84,9.1,24,04:32,19:24,73.8025121880607
2,2007-07-18,77.0,69,0,12,0.92,29.83,10.3,24,04:32,19:24,76.37954483234944
1,2007-07-19,73.0,63,0,8,0.16,29.9,7.0,1,04:33,19:23,70.89397217984008
2,2007-07-19,72.0,62,0,8,0.01,29.88,7.7,36,04:33,19:23,70.79069748395239
1,2007-07-20,66.0,53,0,2,0.0,30.14,8.6,3,04:33,19:23,62.894084892669234
2,2007-07-20,68.0,52,0,3,0.0,30.12,11.3,4,04:33,19:23,56.577353085352414
1,2007-07-21,66.0,52,0,1,0.0,30.22,6.5,3,04:34,19:22,60.623940458725166
2,2007-07-21,66.0,52,0,2,0.0,30.21,5.8,4,04:34,19:22,60.623940458725166
1,2007-07-22,70.0,55,0,5,0.0,30.21,1.7,16,04:35,19:21,58.963380257579956
2,2007-07-22,71.0,54,0,6,0.0,30.2,1.9,18,04:35,19:21,54.950842264177005
1,2007-07-23,72.0,55,0,7,0.0,30.1,3.2,9,04:36,19:20,55.091227971046706
2,2007-07-23,72.0,55,0,8,0.0,30.09,2.9,12,04:36,19:20,55.091227971046706
1,2007-07-24,74.0,58,0,9,0.0,30.04,3.1,20,04:37,19:19,57.39844888625208
2,2007-07-24,74.0,57,0,9,0.0,30.03,1.1,21,04:37,19:19,55.370380068334455
1,2007-07-25,78.0,61,0,13,0.0,30.0,5.8,25,04:38,19:18,55.92225541850748
2,2007-07-25,76.0,60,0,12,0.0,29.99,6.4,23,04:38,19:18,57.66778910783504
1,2007-07-26,74.0,65,0,10,0.19,29.92,7.2,22,04:39,19:18,73.51892767698158
2,2007-07-26,74.0,65,0,9,0.89,29.91,7.2,22,04:39,19:18,73.51892767698158
1,2007-07-27,76.0,68,0,12,0.17,29.82,3.0,3,04:40,19:17,76.29328958738
2,2007-07-27,76.0,67,0,12,0.04,29.8,1.2,36,04:40,19:17,73.70845748055447
1,2007-07-28,73.0,65,0,8,0.0,29.93,10.0,3,04:41,19:16,76.03184026638033
2,2007-07-28,75.0,65,0,10,0.0,29.91,10.6,3,04:41,19:16,71.0990149842
1,2007-07-29,74.0,57,0,9,0.0,29.99,4.8,5,04:42,19:15,55.370380068334455
2,2007-07-29,76.0,56,0,11,0.0,29.97,6.3,5,04:42,19:15,49.95470109719076
1,2007-07-30,76.0,55,0,11,0.0,30.03,3.8,6,04:43,19:14,48.1745710114634
2,2007-07-30,76.0,57,0,11,0.0,30.01,3.1,6,04:43,19:14,51.79248207523655
1,2007-07-31,80.0,61,0,15,0.0,30.04,3.3,4,04:44,19:13,52.36618948569386
2,2007-07-31,79.0,60,0,14,0.0,30.02,4.0,7,04:44,19:13,52.22353196842017
1,2007-08-01,80.0,62,0,16,0.0,30.0,3.5,9,04:45,19:11,54.25092267518391
2,2007-08-01,80.0,63,0,15,0.0,29.98,2.1,13,04:45,19:11,56.19500657655519
1,2007-08-02,80.0,66,0,16,0.0,29.97,5.5,26,04:46,19:10,62.399389337971854
2,2007-08-02,82.0,66,0,17,0.0,29.95,6.5,23,04:46,19:10,58.4629559303616
1,2007-08-03,80.0,56,0,15,0.0,30.02,2.7,3,04:47,19:09,43.77961106850662
2,2007-08-03,80.0,58,0,16,0.0,30.0,3.3,6,04:47,19:09,47.05273912757241
1,2007-08-04,72.0,58,0,8,0.03,30.03,5.7,8,04:48,19:08,61.397964442270506
2,2007-08-04,74.0,58,0,10,0.02,30.01,5.9,9,04:48,19:08,57.39844888625208
1,2007-08-05,78.0,71,0,13,1.43,29.81,5.4,21,04:49,19:07,79.11259678664938
2,2007-08-05,78.0,71,0,13,0.97,29.79,7.0,22,04:49,19:07,79.11259678664938
1,2007-08-06,81.0,72,0,16,0.26,29.83,1.6,10,04:50,19:06,74.17406253908948
2,2007-08-06,80.0,72,0,15,0.05,29.81,2.6,10,04:50,19:06,76.63566627166244
1,2007-08-07,82.0,73,0,17,1.31,29.76,6.2,25,04:51,19:04,74.26579700356606
2,2007-08-07,82.0,73,0,18,0.06,29.74,6.3,24,04:51,19:04,74.26579700356606
1,2007-08-08,80.0,71,0,15,0.06,29.83,3.0,3,04:52,19:03,74.08186960685258
2,2007-08-08,80.0,72,0,16,0.09,29.81,1.5,4,04:52,19:03,76.63566627166244
1,2007-08-09,78.0,71,0,13,0.05,29.84,2.5,29,04:53,19:02,79.11259678664938
2,2007-08-09,79.0,71,0,14,0.46,29.82,3.1,27,04:53,19:02,76.55073039708398
1,2007-08-10,78.0,68,0,13,0.0,29.96,4.5,2,04:54,19:00,71.40285567925346
2,2007-08-10,80.0,69,0,15,0.0,29.94,3.0,6,04:54,19:00,69.19708443215043
1,2007-08-11,78.0,65,0,13,0.0,30.02,3.2,19,04:55,18:59,64.36023541711909
2,2007-08-11,78.0,65,0,13,0.0,30.0,3.1,20,04:55,18:59,64.36023541711909
1,2007-08-12,78.0,67,0,13,0.29,30.06,1.7,6,04:56,18:58,68.98371246394646
2,2007-08-12,78.0,67,0,13,0.23,30.04,1.9,6,04:56,18:58,68.98371246394646
1,2007-08-13,73.0,57,0,8,0.0,30.11,6.2,6,04:57,18:56,57.26296650219611
2,2007-08-13,74.0,54,0,10,0.0,30.08,6.9,8,04:57,18:56,49.659407487470894
1,2007-08-14,74.0,67,0,10,0.41,29.93,5.9,25,04:58,18:55,78.80034208478955
2,2007-08-14,74.0,66,0,10,0.45,29.92,6.4,23,04:58,18:55,76.11944014009856
1,2007-08-15,76.0,67,0,11,0.23,29.89,3.4,7,04:59,18:54,73.70845748055447
2,2007-08-15,76.0,69,0,12,0.83,29.87,4.9,6,04:59,18:54,78.95729507957596
1,2007-08-16,71.0,64,0,6,0.0,29.97,3.6,1,05:00,18:52,78.56176830966571
2,2007-08-16,72.0,65,0,7,0.0,29.95,3.5,1,05:00,18:52,78.64171584654672
1,2007-08-17,70.0,54,0,5,0.0,30.1,5.9,32,05:01,18:51,56.85324660594026
2,2007-08-17,72.0,54,0,8,0.0,30.08,6.1,31,05:01,18:51,53.1196677663226
1,2007-08-18,64.0,54,1,0,0.09,30.16,6.4,12,05:02,18:49,69.94603538909423
2,2007-08-18,64.0,54,0,0,0.42,30.15,6.1,13,05:02,18:49,69.94603538909423
1,2007-08-19,65.0,62,0,0,1.33,29.99,6.0,10,05:03,18:48,90.01672550238605
2,2007-08-19,66.0,63,0,1,1.33,29.98,5.5,10,05:03,18:48,90.05698160311783
1,2007-08-20,73.0,68,0,8,0.91,29.87,0.5,12,05:04,18:46,84.35162616146033
2,2007-08-20,72.0,69,0,7,0.48,29.85,2.4,20,05:04,18:46,90.29357712746528
1,2007-08-21,78.0,70,0,13,0.0,29.91,3.8,18,05:05,18:45,76.46535750657347
2,2007-08-21,77.0,70,0,12,0.01,29.89,3.5,17,05:05,18:45,79.0351509846267
1,2007-08-22,80.0,71,0,15,0.37,29.94,5.3,21,05:06,18:43,74.08186960685258
2,2007-08-22,80.0,70,0,15,0.88,29.93,5.1,21,05:06,18:43,71.6029668387688
1,2007-08-23,78.0,69,0,13,2.35,29.87,9.6,21,05:08,18:42,73.89609723059786
2,2007-08-23,80.0,69,0,15,1.96,29.86,6.7,21,05:08,18:42,69.19708443215043
1,2007-08-24,74.0,67,0,10,0.24,29.82,5.8,25,05:09,18:40,78.80034208478955
2,2007-08-24,75.0,67,0,10,0.2,29.81,5.5,25,05:09,18:40,76.2065889652617
1,2007-08-25,72.0,63,0,7,0.34,29.93,3.0,36,05:10,18:39,73.32748485196429
2,2007-08-25,70.0,63,0,6,0.25,29.91,2.4,3,05:10,18:39,78.481394078393
1,2007-08-26,70.0,55,0,5,0.0,30.08,3.6,11,05:11,18:37,58.963380257579956
2,2007-08-26,70.0,55,0,5,0.0,30.07,3.7,11,05:11,18:37,58.963380257579956
1,2007-08-27,70.0,60,0,5,0.0,30.07,6.5,17,05:12,18:35,70.58262702474482
2,2007-08-27,71.0,59,0,6,0.0,30.06,6.4,16,05:12,18:35,65.83068248854447
1,2007-08-28,79.0,66,0,14,0.0,29.99,9.0,20,05:13,18:34,64.4789184655231
2,2007-08-28,80.0,65,0,15,0.0,29.98,7.8,21,05:13,18:34,60.26760290646863
1,2007-08-29,76.0,65,0,12,0.0,30.04,5.6,3,05:14,18:32,68.76831510279386
2,2007-08-29,78.0,64,0,13,0.0,30.02,5.3,3,05:14,18:32,62.15225499128753
1,2007-08-30,66.0,54,0,1,0.0,30.18,9.1,2,05:15,18:31,65.2387976002875
2,2007-08-30,68.0,54,0,3,0.0,30.15,10.8,3,05:15,18:31,60.88417312972738
1,2007-08-31,67.0,52,0,2,0.0,30.19,3.9,4,05:16,18:29,58.56142606385429
2,2007-08-31,66.0,54,0,2,0.0,30.17,3.0,6,05:16,18:29,65.2387976002875
1,2007-09-01,69.0,55,0,4,0.0,30.22,4.2,11,05:17,18:27,61.01345159166276
2,2007-09-01,70.0,56,0,5,0.0,30.2,4.4,11,05:17,18:27,61.1421746910109
1,2007-09-02,73.0,57,0,8,0.0,30.15,4.2,21,05:18,18:26,57.26296650219611
2,2007-09-02,73.0,56,0,8,0.0,30.13,4.8,21,05:18,18:26,55.23107333223108
1,2007-09-03,77.0,61,0,12,0.0,30.09,2.0,27,05:19,18:24,57.80165089822067
2,2007-09-03,76.0,61,0,11,0.0,30.07,3.0,25,05:19,18:24,59.75241167088612
1,2007-09-04,76.0,60,0,11,0.0,30.0,2.8,22,05:20,18:22,57.66778910783504
2,2007-09-04,78.0,59,0,14,0.0,29.99,2.2,24,05:20,18:22,52.080362399061585
1,2007-09-05,78.0,63,0,13,0.0,29.96,6.4,19,05:21,18:21,60.01107855818599
2,2007-09-05,82.0,62,0,17,0.0,29.94,6.4,19,05:21,18:21,50.828531099272766
1,2007-09-06,78.0,67,0,13,0.18,29.92,11.9,20,05:22,18:19,68.98371246394646
2,2007-09-06,79.0,66,0,14,0.08,29.91,12.8,20,05:22,18:19,64.4789184655231
1,2007-09-07,77.0,68,0,12,0.19,29.85,10.4,23,05:23,18:17,73.8025121880607
2,2007-09-07,78.0,67,0,13,0.67,29.84,9.5,23,05:23,18:17,68.98371246394646
1,2007-09-08,71.0,57,0,6,0.0,30.0,6.0,5,05:24,18:15,61.27034483869424
2,2007-09-08,73.0,58,0,8,0.0,29.98,8.4,5,05:24,18:15,59.36035569550202
1,2007-09-09,72.0,59,0,7,0.0,30.06,9.2,3,05:25,18:14,63.63694965420793
2,2007-09-09,71.0,59,0,6,0.0,30.03,10.1,3,05:25,18:14,65.83068248854447
1,2007-09-10,64.0,58,1,0,0.36,30.04,7.2,2,05:26,18:12,80.84659363061954
2,2007-09-10,64.0,59,1,0,0.25,30.01,7.4,3,05:26,18:12,83.79480745527607
1,2007-09-11,60.0,44,4,0,0.0,29.92,11.7,29,05:27,18:10,55.451466031613236
2,2007-09-11,61.0,44,4,0,0.0,29.91,12.1,29,05:27,18:10,53.51689345100418
1,2007-09-12,56.0,42,8,0,0.0,30.12,1.8,3,05:28,18:09,59.28863200768263
2,2007-09-12,56.0,43,9,0,0.0,30.11,1.9,5,05:28,18:09,61.61093846002645
1,2007-09-13,64.0,45,1,0,0.0,29.99,8.3,19,05:29,18:07,50.021541953978435
2,2007-09-13,66.0,43,0,1,0.0,29.98,7.1,20,05:29,18:07,43.226431411633484
1,2007-09-14,56.0,39,9,0,0.0,30.05,12.1,32,05:30,18:05,52.779071088626374
2,2007-09-14,57.0,40,8,0,0.0,30.04,11.7,32,05:30,18:05,52.927762520761654
1,2007-09-15,50.0,33,15,0,0.0,30.28,1.4,33,05:31,18:03,51.874970116438256
2,2007-09-15,52.0,35,13,0,0.0,30.28,1.1,35,05:31,18:03,52.17862386930955
1,2007-09-16,58.0,40,7,0,0.0,30.19,6.8,18,05:32,18:00,51.057657198173125
2,2007-09-16,60.0,38,4,0,0.0,30.2,7.7,18,05:32,18:00,43.96594190631954
1,2007-09-17,66.0,49,0,1,0.0,30.12,11.7,17,05:33,17:58,54.2407488671668
2,2007-09-17,68.0,48,0,3,0.0,30.12,10.6,17,05:33,17:58,48.76137121429923
1,2007-09-18,76.0,58,0,11,0.0,30.06,12.9,19,05:35,17:56,53.68950206624461
2,2007-09-18,78.0,57,0,13,0.0,30.05,12.5,19,05:35,17:56,48.47256086202582
