Year,Month,Day,Species,Block,Street,Trap,Latitude,Longitude,AddressAccuracy,NumMosquitos,WnvPresent,Station,DLHRs,Tavg,DewPoint,PrecipTotal,SeaLevel,AveWindSpd,RHumidity
2007,6,5,CULEX RESTUANS,53, W AGATITE AVE,T141,41.961743,-87.76007,9,2,0,1,15.1,69.285714,58.714286,1.060003,29.798571,6.928571,69.623671
2007,6,5,CULEX PIPIENS,42, W 127TH PL,T135,41.662014,-87.724608,8,1,0,2,15.1,70.714286,58.142857,1.640002,29.787143,7.114286,65.331838
2007,6,5,CULEX RESTUANS,14, N HUMBOLDT DR,T033,41.906638,-87.701431,9,3,0,2,15.1,70.714286,58.142857,1.640002,29.787143,7.114286,65.331838
2007,6,5,CULEX PIPIENS/RESTUANS,42, W 127TH PL,T135,41.662014,-87.724608,8,2,0,2,15.1,70.714286,58.142857,1.640002,29.787143,7.114286,65.331838
2007,6,5,CULEX PIPIENS/RESTUANS,11, S STATE ST,T092,41.869216,-87.627561,8,1,0,2,15.1,70.714286,58.142857,1.640002,29.787143,7.114286,65.331838
2007,6,5,CULEX RESTUANS,11, S ASHLAND AVE,T090,41.868077,-87.666901,9,7,0,2,15.1,70.714286,58.142857,1.640002,29.787143,7.114286,65.331838
2007,6,5,CULEX RESTUANS,10, S VINCENNES,T089,41.723195,-87.64997,5,1,0,2,15.1,70.714286,58.142857,1.640002,29.787143,7.114286,65.331838
2007,6,5,CULEX RESTUANS,43, N ASHLAND AVE OVERPASS,T145,41.878114,-87.629798,3,3,0,2,15.1,70.714286,58.142857,1.640002,29.787143,7.114286,65.331838
2007,6,5,CULEX RESTUANS,42, W 127TH PL,T135,41.662014,-87.724608,8,4,0,2,15.1,70.714286,58.142857,1.640002,29.787143,7.114286,65.331838
2007,6,5,CULEX PIPIENS/RESTUANS,42, N RICHMOND ST,T146,41.958271,-87.702575,9,1,0,1,15.1,69.285714,58.714286,1.060003,29.798571,6.928571,69.623671
2007,6,5,CULEX RESTUANS,37, N KEDVALE AVE,T218,41.948167,-87.730698,8,1,0,1,15.1,69.285714,58.714286,1.060003,29.798571,6.928571,69.623671
2007,6,5,CULEX RESTUANS,28, N FRANCISCO AVE,T147,41.932094,-87.700117,8,1,0,2,15.1,70.714286,58.142857,1.640002,29.787143,7.114286,65.331838
2007,6,5,CULEX PIPIENS/RESTUANS,15, W GRANVILLE AVE,T149,41.994469,-87.667736,8,1,0,1,15.1,69.285714,58.714286,1.060003,29.798571,6.928571,69.623671
2007,6,5,CULEX RESTUANS,18, W FARWELL AVE,T150,42.006858,-87.675919,9,2,0,1,15.1,69.285714,58.714286,1.060003,29.798571,6.928571,69.623671
2007,6,5,CULEX PIPIENS/RESTUANS,70,  W ARMITAGE AVENUE,T151,41.916265,-87.800515,8,1,0,1,15.1,69.285714,58.714286,1.060003,29.798571,6.928571,69.623671
2007,6,5,CULEX RESTUANS,70,  W ARMITAGE AVENUE,T151,41.916265,-87.800515,8,10,0,1,15.1,69.285714,58.714286,1.060003,29.798571,6.928571,69.623671
2007,6,5,CULEX RESTUANS,25, S MILLARD AVE,T152,41.846075,-87.716277,9,1,0,2,15.1,70.714286,58.142857,1.640002,29.787143,7.114286,65.331838
2007,6,5,CULEX RESTUANS,21, N LAWLER AVE,T154,41.918705,-87.752329,8,1,0,2,15.1,70.714286,58.142857,1.640002,29.787143,7.114286,65.331838
2007,6,5,CULEX PIPIENS/RESTUANS,35, W 116TH ST,T158,41.682587,-87.707973,9,3,0,2,15.1,70.714286,58.142857,1.640002,29.787143,7.114286,65.331838
2007,6,5,CULEX RESTUANS,35, W 116TH ST,T158,41.682587,-87.707973,9,8,0,2,15.1,70.714286,58.142857,1.640002,29.787143,7.114286,65.331838
2007,6,5,CULEX PIPIENS/RESTUANS,93, S DR MARTIN LUTHER KING JR DR,T162,41.725517,-87.614258,8,1,0,2,15.1,70.714286,58.142857,1.640002,29.787143,7.114286,65.331838
2007,6,5,CULEX PIPIENS/RESTUANS,37, N KEDVALE AVE,T218,41.948167,-87.730698,8,2,0,1,15.1,69.285714,58.714286,1.060003,29.798571,6.928571,69.623671
2007,6,5,CULEX PIPIENS/RESTUANS,50, S CENTRAL AVE,T031,41.801498,-87.763416,9,1,0,2,15.1,70.714286,58.142857,1.640002,29.787143,7.114286,65.331838
2007,6,5,CULEX RESTUANS,45, N CAMPBELL AVE,T220,41.963976,-87.69181,9,1,0,1,15.1,69.285714,58.714286,1.060003,29.798571,6.928571,69.623671
2007,6,5,CULEX RESTUANS,42, N RICHMOND ST,T146,41.958271,-87.702575,9,2,0,1,15.1,69.285714,58.714286,1.060003,29.798571,6.928571,69.623671
2007,6,5,CULEX RESTUANS,58, N WESTERN AVE,T028,41.986921,-87.689778,9,2,0,1,15.1,69.285714,58.714286,1.060003,29.798571,6.928571,69.623671
2007,6,5,CULEX PIPIENS/RESTUANS,11, S ASHLAND AVE,T090,41.868077,-87.666901,9,1,0,2,15.1,70.714286,58.142857,1.640002,29.787143,7.114286,65.331838
2007,6,5,CULEX RESTUANS,38, N CALIFORNIA AVE,T019,41.94983,-87.698457,9,1,0,2,15.1,70.714286,58.142857,1.640002,29.787143,7.114286,65.331838
2007,6,5,CULEX RESTUANS,49, W BALMORAL AVE,T025,41.979243,-87.750938,9,1,0,1,15.1,69.285714,58.714286,1.060003,29.798571,6.928571,69.623671
2007,6,5,CULEX PIPIENS/RESTUANS,41, N OAK PARK AVE,T002,41.95469,-87.800991,9,3,0,1,15.1,69.285714,58.714286,1.060003,29.798571,6.928571,69.623671
2007,6,5,CULEX RESTUANS,41, N OAK PARK AVE,T002,41.95469,-87.800991,9,5,0,1,15.1,69.285714,58.714286,1.060003,29.798571,6.928571,69.623671
2007,6,5,CULEX PIPIENS,41, N OAK PARK AVE,T002,41.95469,-87.800991,9,1,0,1,15.1,69.285714,58.714286,1.060003,29.798571,6.928571,69.623671
2007,6,5,CULEX PIPIENS/RESTUANS,79, W FOSTER AVE,T015,41.974089,-87.824812,8,1,0,1,15.1,69.285714,58.714286,1.060003,29.798571,6.928571,69.623671
2007,6,5,CULEX RESTUANS,79, W FOSTER AVE,T015,41.974089,-87.824812,8,2,0,1,15.1,69.285714,58.714286,1.060003,29.798571,6.928571,69.623671
2007,6,5,CULEX PIPIENS/RESTUANS,15, W WEBSTER AVE,T045,41.9216,-87.666455,8,1,0,2,15.1,70.714286,58.142857,1.640002,29.787143,7.114286,65.331838
2007,6,5,CULEX RESTUANS,15, W WEBSTER AVE,T045,41.9216,-87.666455,8,2,0,2,15.1,70.714286,58.142857,1.640002,29.787143,7.114286,65.331838
2007,6,5,CULEX RESTUANS,25, W GRAND AVE,T046,41.891118,-87.654491,8,1,0,2,15.1,70.714286,58.142857,1.640002,29.787143,7.114286,65.331838
2007,6,5,CULEX PIPIENS/RESTUANS,11, W ROOSEVELT,T048,41.867108,-87.654224,8,1,0,2,15.1,70.714286,58.142857,1.640002,29.787143,7.114286,65.331838
2007,6,5,CULEX RESTUANS,11, W ROOSEVELT,T048,41.867108,-87.654224,8,1,0,2,15.1,70.714286,58.142857,1.640002,29.787143,7.114286,65.331838
2007,6,5,CULEX PIPIENS,11, W ROOSEVELT,T048,41.867108,-87.654224,8,2,0,2,15.1,70.714286,58.142857,1.640002,29.787143,7.114286,65.331838
2007,6,5,CULEX RESTUANS,11, W CHICAGO,T049,41.896282,-87.655232,8,2,0,2,15.1,70.714286,58.142857,1.640002,29.787143,7.114286,65.331838
2007,6,5,CULEX PIPIENS/RESTUANS,21, N STAVE ST,T050,41.919343,-87.694259,8,1,0,2,15.1,70.714286,58.142857,1.640002,29.787143,7.114286,65.331838
2007,6,5,CULEX PIPIENS,15, W WEBSTER AVE,T045,41.9216,-87.666455,8,1,0,2,15.1,70.714286,58.142857,1.640002,29.787143,7.114286,65.331838
2007,6,5,CULEX RESTUANS,22, N CANNON DR,T054,41.921965,-87.632085,8,3,0,2,15.1,70.714286,58.142857,1.640002,29.787143,7.114286,65.331838
2007,6,5,CULEX RESTUANS,72, N OKETO AVE,T016,42.011601,-87.811506,8,1,0,1,15.1,69.285714,58.714286,1.060003,29.798571,6.928571,69.623671
2007,6,5,CULEX RESTUANS,21, N STAVE ST,T050,41.919343,-87.694259,8,1,0,2,15.1,70.714286,58.142857,1.640002,29.787143,7.114286,65.331838
2007,6,5,CULEX RESTUANS,36, N PITTSBURGH AVE,T011,41.944869,-87.832763,8,1,0,1,15.1,69.285714,58.714286,1.060003,29.798571,6.928571,69.623671
2007,6,5,CULEX RESTUANS,91, W HIGGINS AVE,T009,41.981964,-87.812827,8,2,0,1,15.1,69.285714,58.714286,1.060003,29.798571,6.928571,69.623671
2007,6,5,CULEX RESTUANS,15, N LONG AVE,T153,41.907645,-87.760886,8,3,0,2,15.1,70.714286,58.142857,1.640002,29.787143,7.114286,65.331838
2007,6,5,CULEX RESTUANS,65, N OAK PARK AVE,T143,41.999129,-87.795585,8,9,0,1,15.1,69.285714,58.714286,1.060003,29.798571,6.928571,69.623671
2007,6,5,CULEX RESTUANS,89, S CARPENTER ST,T159,41.732984,-87.649642,8,1,0,2,15.1,70.714286,58.142857,1.640002,29.787143,7.114286,65.331838
2007,6,5,CULEX PIPIENS,22, W 89TH ST,T096,41.731922,-87.677512,8,1,0,2,15.1,70.714286,58.142857,1.640002,29.787143,7.114286,65.331838
2007,6,5,CULEX RESTUANS,22, W 89TH ST,T096,41.731922,-87.677512,8,1,0,2,15.1,70.714286,58.142857,1.640002,29.787143,7.114286,65.331838
2007,6,5,CULEX PIPIENS/RESTUANS,22, W 89TH ST,T096,41.731922,-87.677512,8,1,0,2,15.1,70.714286,58.142857,1.640002,29.787143,7.114286,65.331838
2007,6,5,CULEX PIPIENS/RESTUANS,17, W 95TH ST,T094,41.720848,-87.666014,9,2,0,2,15.1,70.714286,58.142857,1.640002,29.787143,7.114286,65.331838
2007,6,5,CULEX RESTUANS,22, W 113TH ST,T086,41.688324,-87.676709,8,4,0,2,15.1,70.714286,58.142857,1.640002,29.787143,7.114286,65.331838
2007,6,5,CULEX PIPIENS/RESTUANS,65, N OAK PARK AVE,T143,41.999129,-87.795585,8,2,0,1,15.1,69.285714,58.714286,1.060003,29.798571,6.928571,69.623671
2007,6,26,CULEX PIPIENS/RESTUANS,40, N TRIPP AVE,T001,41.953705,-87.733974,8,1,0,1,15.216666666666667,71.571429,58.285714,0.220003,30.05,6.242857,63.864816
2007,6,26,CULEX PIPIENS/RESTUANS,70,  W ARMITAGE AVENUE,T151,41.916265,-87.800515,8,3,0,1,15.216666666666667,71.571429,58.285714,0.220003,30.05,6.242857,63.864816
2007,6,26,CULEX RESTUANS,45, N CAMPBELL AVE,T220,41.963976,-87.69181,9,1,0,1,15.216666666666667,71.571429,58.285714,0.220003,30.05,6.242857,63.864816
2007,6,26,CULEX RESTUANS,35, W 116TH ST,T158,41.682587,-87.707973,9,4,0,2,15.216666666666667,72.428571,58.285714,0.339997,30.037143,5.757143,62.944655
2007,6,26,CULEX PIPIENS/RESTUANS,35, W 116TH ST,T158,41.682587,-87.707973,9,1,0,2,15.216666666666667,72.428571,58.285714,0.339997,30.037143,5.757143,62.944655
2007,6,26,CULEX RESTUANS,70,  W ARMITAGE AVENUE,T151,41.916265,-87.800515,8,6,0,1,15.216666666666667,71.571429,58.285714,0.220003,30.05,6.242857,63.864816
2007,6,26,CULEX RESTUANS,18, W FARWELL AVE,T150,42.006858,-87.675919,9,2,0,1,15.216666666666667,71.571429,58.285714,0.220003,30.05,6.242857,63.864816
2007,6,26,CULEX PIPIENS/RESTUANS,53, W AGATITE AVE,T141,41.961743,-87.76007,9,1,0,1,15.216666666666667,71.571429,58.285714,0.220003,30.05,6.242857,63.864816
2007,6,26,CULEX RESTUANS,42, N RICHMOND ST,T146,41.958271,-87.702575,9,6,0,1,15.216666666666667,71.571429,58.285714,0.220003,30.05,6.242857,63.864816
2007,6,26,CULEX RESTUANS,43, N ASHLAND AVE OVERPASS,T145,41.878114,-87.629798,3,1,0,2,15.216666666666667,72.428571,58.285714,0.339997,30.037143,5.757143,62.944655
2007,6,26,CULEX RESTUANS,40, N AUSTIN AVE,T142,41.953067,-87.776792,8,4,0,1,15.216666666666667,71.571429,58.285714,0.220003,30.05,6.242857,63.864816
2007,6,26,CULEX RESTUANS,53, W AGATITE AVE,T141,41.961743,-87.76007,9,3,0,1,15.216666666666667,71.571429,58.285714,0.220003,30.05,6.242857,63.864816
2007,6,26,CULEX PIPIENS,42, W 127TH PL,T135,41.662014,-87.724608,8,6,0,2,15.216666666666667,72.428571,58.285714,0.339997,30.037143,5.757143,62.944655
2007,6,26,CULEX RESTUANS,46, N MILWAUKEE AVE,T003,41.964242,-87.757639,8,2,0,1,15.216666666666667,71.571429,58.285714,0.220003,30.05,6.242857,63.864816
2007,6,26,CULEX RESTUANS,28, N FRANCISCO AVE,T147,41.932094,-87.700117,8,1,0,2,15.216666666666667,72.428571,58.285714,0.339997,30.037143,5.757143,62.944655
2007,6,26,CULEX PIPIENS/RESTUANS,60, N AVONDALE AVE,T006,41.990284,-87.797127,8,1,0,1,15.216666666666667,71.571429,58.285714,0.220003,30.05,6.242857,63.864816
2007,6,26,CULEX RESTUANS,96, S HOYNE AVE,T161,41.719059,-87.675088,9,5,0,2,15.216666666666667,72.428571,58.285714,0.339997,30.037143,5.757143,62.944655
2007,6,26,CULEX RESTUANS,70, N MOSELL AVE,T008,42.008314,-87.777921,9,2,0,1,15.216666666666667,71.571429,58.285714,0.220003,30.05,6.242857,63.864816
2007,6,26,CULEX RESTUANS,42, W 127TH PL,T135,41.662014,-87.724608,8,25,0,2,15.216666666666667,72.428571,58.285714,0.339997,30.037143,5.757143,62.944655
2007,6,26,CULEX RESTUANS,18, W LELAND AVE,T219,41.966987,-87.674677,8,1,0,2,15.216666666666667,72.428571,58.285714,0.339997,30.037143,5.757143,62.944655
2007,6,26,CULEX PIPIENS/RESTUANS,96, S HOYNE AVE,T161,41.719059,-87.675088,9,3,0,2,15.216666666666667,72.428571,58.285714,0.339997,30.037143,5.757143,62.944655
2007,6,26,CULEX PIPIENS,10, S CALIFORNIA AVE,T088,41.869107,-87.696293,9,1,0,2,15.216666666666667,72.428571,58.285714,0.339997,30.037143,5.757143,62.944655
2007,6,26,CULEX RESTUANS,10, W 95TH ST,T085,41.721474,-87.648064,8,2,0,2,15.216666666666667,72.428571,58.285714,0.339997,30.037143,5.757143,62.944655
2007,6,26,CULEX PIPIENS/RESTUANS,25, S THROOP,T051,41.846283,-87.656913,9,1,0,2,15.216666666666667,72.428571,58.285714,0.339997,30.037143,5.757143,62.944655
2007,6,26,CULEX RESTUANS,60, N AVONDALE AVE,T006,41.990284,-87.797127,8,1,0,1,15.216666666666667,71.571429,58.285714,0.220003,30.05,6.242857,63.864816
2007,6,26,CULEX RESTUANS,11, S CALIFORNIA,T047,41.868142,-87.696269,9,1,0,2,15.216666666666667,72.428571,58.285714,0.339997,30.037143,5.757143,62.944655
2007,6,26,CULEX RESTUANS,30, W 18TH ST,T043,41.857402,-87.694991,8,1,0,2,15.216666666666667,72.428571,58.285714,0.339997,30.037143,5.757143,62.944655
2007,6,26,CULEX RESTUANS,21, S HAMLIN AVE,T040,41.852652,-87.719887,8,1,0,2,15.216666666666667,72.428571,58.285714,0.339997,30.037143,5.757143,62.944655
2007,6,26,CULEX PIPIENS/RESTUANS,21, S HAMLIN AVE,T040,41.852652,-87.719887,8,5,0,2,15.216666666666667,72.428571,58.285714,0.339997,30.037143,5.757143,62.944655
2007,6,26,CULEX RESTUANS,68, W BELDEN AVE,T037,41.921177,-87.79518,8,1,0,1,15.216666666666667,71.571429,58.285714,0.220003,30.05,6.242857,63.864816
2007,6,26,CULEX RESTUANS,27, S WESTERN AVE,T034,41.843811,-87.686763,9,1,0,2,15.216666666666667,72.428571,58.285714,0.339997,30.037143,5.757143,62.944655
2007,6,26,CULEX PIPIENS/RESTUANS,61, N LEMONT AVE,T012,41.991429,-87.747113,8,2,0,1,15.216666666666667,71.571429,58.285714,0.220003,30.05,6.242857,63.864816
2007,6,26,CULEX PIPIENS/RESTUANS,11, S CALIFORNIA,T047,41.868142,-87.696269,9,1,0,2,15.216666666666667,72.428571,58.285714,0.339997,30.037143,5.757143,62.944655
2007,6,26,CULEX PIPIENS/RESTUANS,42, W 127TH PL,T135,41.662014,-87.724608,8,20,0,2,15.216666666666667,72.428571,58.285714,0.339997,30.037143,5.757143,62.944655
2007,6,26,CULEX PIPIENS/RESTUANS,22, W 113TH ST,T086,41.688324,-87.676709,8,2,0,2,15.216666666666667,72.428571,58.285714,0.339997,30.037143,5.757143,62.944655
2007,6,26,CULEX RESTUANS,11, S ASHLAND AVE,T090,41.868077,-87.666901,9,19,0,2,15.216666666666667,72.428571,58.285714,0.339997,30.037143,5.757143,62.944655
2007,6,26,CULEX RESTUANS,22, W 113TH ST,T086,41.688324,-87.676709,8,2,0,2,15.216666666666667,72.428571,58.285714,0.339997,30.037143,5.757143,62.944655
2007,6,26,CULEX RESTUANS,21, N STAVE ST,T050,41.919343,-87.694259,8,1,0,2,15.216666666666667,72.428571,58.285714,0.339997,30.037143,5.757143,62.944655
2007,6,26,CULEX RESTUANS,11, W CHICAGO,T049,41.896282,-87.655232,8,1,0,2,15.216666666666667,72.428571,58.285714,0.339997,30.037143,5.757143,62.944655
2007,6,26,CULEX PIPIENS/RESTUANS,11, W ROOSEVELT,T048,41.867108,-87.654224,8,2,0,2,15.216666666666667,72.428571,58.285714,0.339997,30.037143,5.757143,62.944655
2007,6,26,CULEX RESTUANS,25, W GRAND AVE,T046,41.891118,-87.654491,8,6,0,2,15.216666666666667,72.428571,58.285714,0.339997,30.037143,5.757143,62.944655
2007,6,26,CULEX PIPIENS/RESTUANS,25, W GRAND AVE,T046,41.891118,-87.654491,8,1,0,2,15.216666666666667,72.428571,58.285714,0.339997,30.037143,5.757143,62.944655
2007,6,26,CULEX RESTUANS,22, W 89TH ST,T096,41.731922,-87.677512,8,5,0,2,15.216666666666667,72.428571,58.285714,0.339997,30.037143,5.757143,62.944655
2007,6,26,CULEX RESTUANS,15, W WEBSTER AVE,T045,41.9216,-87.666455,8,1,0,2,15.216666666666667,72.428571,58.285714,0.339997,30.037143,5.757143,62.944655
2007,6,26,CULEX RESTUANS,62, N MANDELL AVE,T007,41.994991,-87.769279,9,4,0,1,15.216666666666667,71.571429,58.285714,0.220003,30.05,6.242857,63.864816
2007,6,26,CULEX PIPIENS/RESTUANS,62, N MANDELL AVE,T007,41.994991,-87.769279,9,1,0,1,15.216666666666667,71.571429,58.285714,0.220003,30.05,6.242857,63.864816
2007,6,26,CULEX SALINARIUS,41, N OAK PARK AVE,T002,41.95469,-87.800991,9,1,0,1,15.216666666666667,71.571429,58.285714,0.220003,30.05,6.242857,63.864816
2007,6,26,CULEX RESTUANS,41, N OAK PARK AVE,T002,41.95469,-87.800991,9,4,0,1,15.216666666666667,71.571429,58.285714,0.220003,30.05,6.242857,63.864816
2007,6,26,CULEX PIPIENS/RESTUANS,41, N OAK PARK AVE,T002,41.95469,-87.800991,9,1,0,1,15.216666666666667,71.571429,58.285714,0.220003,30.05,6.242857,63.864816
2007,6,26,CULEX PIPIENS,11, S ASHLAND AVE,T090,41.868077,-87.666901,9,1,0,2,15.216666666666667,72.428571,58.285714,0.339997,30.037143,5.757143,62.944655
2007,6,26,CULEX PIPIENS/RESTUANS,15, W WEBSTER AVE,T045,41.9216,-87.666455,8,1,0,2,15.216666666666667,72.428571,58.285714,0.339997,30.037143,5.757143,62.944655
2007,6,26,CULEX PIPIENS/RESTUANS,53, N STREETER DR,T129,41.891126,-87.61156,5,1,0,2,15.216666666666667,72.428571,58.285714,0.339997,30.037143,5.757143,62.944655
2007,6,26,CULEX RESTUANS,79, W FOSTER AVE,T015,41.974089,-87.824812,8,1,0,1,15.216666666666667,71.571429,58.285714,0.220003,30.05,6.242857,63.864816
2007,6,26,CULEX PIPIENS/RESTUANS,65, N OAK PARK AVE,T143,41.999129,-87.795585,8,1,0,1,15.216666666666667,71.571429,58.285714,0.220003,30.05,6.242857,63.864816
2007,6,26,CULEX RESTUANS,53, N STREETER DR,T129,41.891126,-87.61156,5,1,0,2,15.216666666666667,72.428571,58.285714,0.339997,30.037143,5.757143,62.944655
2007,6,26,CULEX PIPIENS/RESTUANS,11, S ASHLAND AVE,T090,41.868077,-87.666901,9,10,0,2,15.216666666666667,72.428571,58.285714,0.339997,30.037143,5.757143,62.944655
2007,6,26,CULEX RESTUANS,14, N HUMBOLDT DR,T033,41.906638,-87.701431,9,3,0,2,15.216666666666667,72.428571,58.285714,0.339997,30.037143,5.757143,62.944655
2007,6,26,CULEX PIPIENS/RESTUANS,14, N HUMBOLDT DR,T033,41.906638,-87.701431,9,2,0,2,15.216666666666667,72.428571,58.285714,0.339997,30.037143,5.757143,62.944655
2007,6,26,CULEX PIPIENS/RESTUANS,58, N WESTERN AVE,T028,41.986921,-87.689778,9,1,0,1,15.216666666666667,71.571429,58.285714,0.220003,30.05,6.242857,63.864816
2007,6,26,CULEX PIPIENS/RESTUANS,49, W BALMORAL AVE,T025,41.979243,-87.750938,9,1,0,1,15.216666666666667,71.571429,58.285714,0.220003,30.05,6.242857,63.864816
2007,6,26,CULEX RESTUANS,38, N CALIFORNIA AVE,T019,41.94983,-87.698457,9,1,0,2,15.216666666666667,72.428571,58.285714,0.339997,30.037143,5.757143,62.944655
2007,6,26,CULEX RESTUANS,58, N WESTERN AVE,T028,41.986921,-87.689778,9,9,0,1,15.216666666666667,71.571429,58.285714,0.220003,30.05,6.242857,63.864816
2007,6,26,CULEX PIPIENS/RESTUANS,72, N OKETO AVE,T016,42.011601,-87.811506,8,2,0,1,15.216666666666667,71.571429,58.285714,0.220003,30.05,6.242857,63.864816
2007,6,26,CULEX RESTUANS,36, N PITTSBURGH AVE,T011,41.944869,-87.832763,8,4,0,1,15.216666666666667,71.571429,58.285714,0.220003,30.05,6.242857,63.864816
2007,6,26,CULEX PIPIENS/RESTUANS,36, N PITTSBURGH AVE,T011,41.944869,-87.832763,8,2,0,1,15.216666666666667,71.571429,58.285714,0.220003,30.05,6.242857,63.864816
2007,6,26,CULEX RESTUANS,75, N OAKLEY AVE,T148,42.01743,-87.687769,8,2,0,1,15.216666666666667,71.571429,58.285714,0.220003,30.05,6.242857,63.864816
